2017-Jun-15 22:52:01.380868 Starting Circus
2017-Jun-15 22:52:01.384870 Ensuring database ../Data/capublic.db exists
2017-Jun-15 22:52:01.388873 Skipping database import 
2017-Jun-15 22:52:01.390875 Selecting all versions of all bills
2017-Jun-15 22:52:20.664363 All versions of all bills selected: 00:00:19.273488
2017-Jun-15 22:52:20.664363 Selecting most recent version of all bills
2017-Jun-15 22:59:49.831847 Most recent version of all bills selected: 00:07:29.167484
2017-Jun-15 23:00:16.863342 Selecting all unevaluated bill versions
2017-Jun-15 23:00:32.738915 Unevaluated bills selected: 00:00:15.875573
2017-Jun-15 23:00:41.824094 Starting Rankings
2017-Jun-15 23:47:10.995763 AB 710 Negative = 11, Positive = 0
2017-Jun-15 23:47:11.495767 AB 711 Negative = 0, Positive = 0
2017-Jun-15 23:47:15.839556 AB 712 Negative = 2, Positive = 0
2017-Jun-15 23:47:33.245966 AB 713 Negative = 199, Positive = 10
2017-Jun-15 23:47:34.792872 AB 715 Negative = 25, Positive = 0
2017-Jun-15 23:47:36.574134 AB 717 Negative = 4, Positive = 0
2017-Jun-15 23:47:38.917904 AB 718 Negative = 38, Positive = 0
2017-Jun-15 23:47:39.355396 AB 719 Negative = 0, Positive = 0
2017-Jun-15 23:47:45.808581 AB 720 Negative = 966, Positive = 0
2017-Jun-15 23:47:51.668021 AB 722 Negative = 16, Positive = 10
2017-Jun-15 23:47:56.527429 AB 724 Negative = 60, Positive = 0
2017-Jun-15 23:48:11.027561 AB 726 Negative = 0, Positive = 20
2017-Jun-15 23:48:16.355733 AB 728 Negative = 0, Positive = 0
2017-Jun-15 23:48:18.199513 AB 731 Negative = 0, Positive = 10
2017-Jun-15 23:48:20.277677 AB 732 Negative = 12, Positive = 0
2017-Jun-15 23:48:23.902690 AB 733 Negative = 18, Positive = 0
