2017-Jun-24 06:53:34.220908 Starting Circus
2017-Jun-24 06:53:34.223910 Initializing database
2017-Jun-24 06:53:34.225912 Ensuring database ../Data/capublic.db exists
2017-Jun-24 06:53:34.229916 	capublic_bill_tbl creation
2017-Jun-24 07:45:09.173935 201720180AB133 is OK.
2017-Jun-24 07:45:09.247971 201720180AB104 is OK.
2017-Jun-24 07:45:09.315018 201720180AB134 is OK.
2017-Jun-24 07:45:09.379062 201720180AB105 is OK.
2017-Jun-24 07:45:09.448112 201720180AB135 is OK.
2017-Jun-24 07:45:09.532172 201720180AB106 is OK.
2017-Jun-24 07:45:09.623235 201720180SB65 is OK.
2017-Jun-24 07:45:09.690282 201720180AB107 is OK.
2017-Jun-24 07:45:09.775342 201720180AB110 is OK.
2017-Jun-24 07:45:09.865407 201720180AB141 is OK.
2017-Jun-24 07:45:09.965477 201720180AB142 is OK.
2017-Jun-24 07:45:10.033543 201720180AB143 is OK.
2017-Jun-24 07:45:10.134615 201720180AB144 is OK.
2017-Jun-24 07:45:10.200645 201720180AB145 is OK.
2017-Jun-24 07:45:10.273703 201720180AB146 is OK.
2017-Jun-24 07:45:10.409791 201720180AB111 is OK.
2017-Jun-24 07:45:10.514866 201720180AB147 is OK.
2017-Jun-24 07:45:10.589919 201720180AB149 is OK.
2017-Jun-24 07:45:10.691008 201720180AB75 is OK.
2017-Jun-24 07:45:10.757056 201720180AB112 is OK.
2017-Jun-24 07:45:10.849115 201720180AB113 is OK.
2017-Jun-24 07:45:10.949173 201720180AB114 is OK.
2017-Jun-24 07:45:11.024226 201720180ACR8 is OK.
2017-Jun-24 07:45:11.090272 201720180AB115 is OK.
2017-Jun-24 07:45:11.192593 201720180AB58 is OK.
2017-Jun-24 07:45:11.265646 201720180ACR2 is OK.
2017-Jun-24 07:45:11.340699 201720180SR3 is OK.
2017-Jun-24 07:45:11.432776 201720180SR5 is OK.
2017-Jun-24 07:45:11.499812 201720180SR6 is OK.
2017-Jun-24 07:45:11.556851 201720180SCR1 is OK.
2017-Jun-24 07:45:11.654628 201720180SR1 is OK.
2017-Jun-24 07:45:11.715750 201720180SR2 is OK.
2017-Jun-24 07:45:11.828830 201720180SR4 is OK.
2017-Jun-24 07:45:11.972373 201720180SB3 is OK.
2017-Jun-24 07:45:12.049402 201720180SR9 is OK.
2017-Jun-24 07:45:12.124472 201720180SB54 is OK.
2017-Jun-24 07:45:12.199507 201720180SR7 is OK.
2017-Jun-24 07:45:12.315591 201720180SB129 is OK.
2017-Jun-24 07:45:12.381649 201720180SB117 is OK.
2017-Jun-24 07:45:12.448685 201720180SB130 is OK.
2017-Jun-24 07:45:12.500737 201720180SB131 is OK.
2017-Jun-24 07:45:12.582790 201720180SB132 is OK.
2017-Jun-24 07:45:12.674844 201720180AB61 is OK.
2017-Jun-24 07:45:12.757915 201720180SCR7 is OK.
2017-Jun-24 07:45:12.831956 201720180SCR6 is OK.
2017-Jun-24 07:45:12.907027 201720180SB83 is OK.
2017-Jun-24 07:45:12.983063 201720180SB82 is OK.
2017-Jun-24 07:45:13.074128 201720180SB84 is OK.
2017-Jun-24 07:45:13.199215 201720180SB43 is OK.
2017-Jun-24 07:45:13.299287 201720180AB156 is OK.
2017-Jun-24 07:45:13.408362 201720180AB157 is OK.
2017-Jun-24 07:45:13.474424 201720180AB158 is OK.
2017-Jun-24 07:45:13.566474 201720180AB159 is OK.
2017-Jun-24 07:45:13.704572 201720180AB160 is OK.
2017-Jun-24 07:45:13.858688 201720180SB136 is OK.
2017-Jun-24 07:45:13.940739 201720180SB137 is OK.
2017-Jun-24 07:45:14.024798 201720180AB151 is OK.
2017-Jun-24 07:45:14.091846 201720180AB152 is OK.
2017-Jun-24 07:45:14.158893 201720180AB154 is OK.
2017-Jun-24 07:45:14.251959 201720180SB138 is OK.
2017-Jun-24 07:45:14.341022 201720180SB139 is OK.
2017-Jun-24 07:45:14.410071 201720180AB155 is OK.
2017-Jun-24 07:45:14.483124 201720180SB140 is OK.
2017-Jun-24 07:45:14.584194 201720180ACR3 is OK.
2017-Jun-24 07:45:14.653260 201720180ACR5 is OK.
